(000000,000001): 0.096027081153624; Result: Inconclusive
(000000,000101): 0.12089450329687632; Result: Inconclusive
(000000,001001): 0.7994953618696918; Result: Inconclusive
(000000,001101): 0.8114002595629675; Result: Inconclusive
(000001,000010): 0.7211079234246551; Result: Inconclusive
(000001,000110): 0.625; Result: Inconclusive
(000001,001010): 0.4768097606977212; Result: Inconclusive
(000001,001110): 0.31180636325737776; Result: Inconclusive
(000010,000011): 0.322265625; Result: Inconclusive
(000010,000111): 0.8587094295739482; Result: Inconclusive
(000010,001011): 0.76953125; Result: Inconclusive
(000010,001111): 0.322265625; Result: Inconclusive
(000011,000100): 0.76953125; Result: Inconclusive
(000011,001000): 0.8583387745277491; Result: Inconclusive
(000011,001100): 0.9051975038367148; Result: Inconclusive
(000011,010000): 0.9051975038367148; Result: Inconclusive
(000100,000001): 0.04143161833669888; Result: Inconclusive
(000100,000101): 0.07351020172662155; Result: Inconclusive
(000100,001001): 0.8584626501256489; Result: Inconclusive
(000100,001101): 0.8330288937195214; Result: Inconclusive
(000101,000010): 0.2620327985527309; Result: Inconclusive
(000101,000110): 0.2350444507531182; Result: Inconclusive
(000101,001010): 0.12188574401646357; Result: Inconclusive
(000101,001110): 0.3415529664321467; Result: Inconclusive
(000110,000011): 0.431640625; Result: Inconclusive
(000110,000111): 0.322265625; Result: Inconclusive
(000110,001011): 0.8123803640878847; Result: Inconclusive
(000110,001111): 0.6349917907446545; Result: Inconclusive
(000111,000100): 0.193359375; Result: Inconclusive
(000111,001000): 0.17193836605810286; Result: Inconclusive
(000111,001100): 0.1692825080005217; Result: Inconclusive
(000111,010000): 0.17269378073166064; Result: Inconclusive
(001000,001001): 0.625; Result: Inconclusive
(001000,001101): 0.6953125; Result: Inconclusive
(001000,010001): 0.275390625; Result: Inconclusive
(001000,010101): 0.8122180739859296; Result: Inconclusive
(001001,001010): 0.13608645140057538; Result: Inconclusive
(001001,001110): 0.3603613229883825; Result: Inconclusive
(001001,010010): 0.37341957891194966; Result: Inconclusive
(001001,010110): 0.845703125; Result: Inconclusive
